date,close,open,high,low,vol,amount
20181025,7529.4079,7334.5177,7543.1054,7305.7654,191703396.0,154975191.4
20181026,7504.7159,7582.7674,7621.3795,7476.1261,184356987.0,149178481.8
20181029,7322.2364,7449.6432,7450.3775,7290.8227,155114072.0,132936459.8
20181030,7375.2296,7271.9554,7451.6622,7189.3526,188857671.0,158569376.0
20181031,7482.8302,7385.9824,7526.5985,7373.7461,194478329.0,159980370.1
20181101,7567.7947,7568.2002,7689.5664,7558.395,235785443.0,203028085.2
20181102,7867.5436,7763.4875,7867.5436,7709.4365,268299637.0,243418105.0
20181105,7839.0811,7831.8247,7895.543,7733.1399,259786875.0,225011345.1
20181106,7791.2453,7807.0853,7807.0853,7701.5118,210422863.0,175163881.5
20181107,7752.0442,7783.1349,7871.1734,7745.3925,226640511.0,191635381.3
20181108,7698.0181,7813.6308,7823.6,7692.3388,209202169.0,167906154.4
20181109,7648.5459,7650.1717,7705.263,7626.1717,193795530.0,153029411.3
20181112,7832.2857,7634.8156,7832.8228,7622.468,249652881.0,196865635.3
20181113,7963.6596,7733.109,8008.1126,7718.6779,353815384.0,265967511.5
20181114,7908.5466,7942.0813,7990.4453,7894.2056,314971609.0,234042079.4
20181115,8002.0951,7889.9172,8002.0951,7884.3398,281944308.0,232073698.5
20181116,8062.2896,8003.4716,8116.727,7959.1405,317727575.0,270892929.0
20181119,8108.845,8050.5506,8108.845,8014.571,295374960.0,243573656.1
20181120,7879.524,8031.3567,8054.2446,7870.4089,285221202.0,241037934.3
20181121,7908.4687,7786.7768,7919.0732,7776.5598,241088341.0,197813349.5
20181122,7893.986,7929.7899,7950.9737,7857.81,224810827.0,179738660.7
20181123,7636.7046,7882.8501,7889.1316,7616.468,263332907.0,208514494.4
20181126,7615.9119,7627.4007,7682.2003,7586.6029,178770560.0,146580578.9
20181127,7635.158,7657.7971,7682.7589,7589.0025,180528488.0,148715438.0
20181128,7757.0735,7633.3672,7757.0735,7572.6466,217484841.0,172681995.6
20181129,7597.0085,7800.5665,7820.4474,7597.0085,217859137.0,181004226.6
20181130,7681.7494,7583.8406,7688.8778,7537.9188,187016048.0,155198509.0
20181203,7938.4676,7901.8258,7968.0924,7835.2336,265804513.0,237165377.7
20181204,7953.7209,7916.5509,7954.3122,7890.6581,223747635.0,186078647.9
20181205,7928.5138,7825.1225,7972.9783,7808.7444,224383040.0,188505456.6
20181206,7735.0482,7854.5909,7872.4452,7725.9878,208415908.0,181809499.0
20181207,7733.8928,7741.7325,7765.1412,7712.2712,166896830.0,143160655.1
20181210,7624.8618,7663.2617,7698.5329,7605.9953,166805874.0,141495087.9
20181211,7685.4017,7642.1577,7685.4017,7628.1532,159567339.0,133006119.0
20181212,7698.0165,7721.8161,7737.2404,7675.2639,161508633.0,133651318.7
20181213,7808.0412,7717.4692,7849.6556,7679.0159,196499945.0,172438019.6
20181214,7629.6493,7785.2906,7792.7357,7624.7249,198374170.0,168205146.9
20181217,7592.6462,7599.0106,7618.68,7515.4604,158891081.0,135264913.1
20181218,7530.3247,7540.9638,7609.3947,7473.4529,155100982.0,130614953.7
20181219,7418.6926,7541.5018,7548.72,7407.4557,145332893.0,123423166.1
20181220,7426.4407,7402.2044,7445.048,7363.7684,152721237.0,127644138.6
20181221,7337.5975,7399.1473,7405.272,7283.7606,159820138.0,134890228.0
20181224,7392.5604,7315.2646,7393.7097,7293.1549,143034691.0,127544922.5
20181225,7332.3467,7308.6062,7362.0732,7180.0755,195489964.0,161139288.4
20181226,7289.5457,7323.988,7369.8423,7277.5597,159524916.0,137327925.5
20181227,7215.3379,7402.6001,7415.9248,7215.3379,175911460.0,151405847.5
20181228,7239.7891,7229.8725,7282.5011,7174.9044,155838073.0,133833729.0
20190102,7149.2665,7259.489,7266.4689,7136.9495,146826477.0,128669987.7
20190103,7089.4406,7134.1461,7217.8325,7081.828,173151161.0,145238857.9
20190104,7284.8403,7022.1229,7284.8403,7011.3275,231616904.0,182962322.4
20190107,7400.2046,7333.3171,7409.3824,7303.4643,248688841.0,201785665.4
20190108,7391.6482,7381.6105,7412.1854,7361.4137,229393995.0,176356511.6
20190109,7447.9348,7425.6354,7552.197,7404.4864,266767952.0,218445047.0
20190110,7428.6136,7442.6964,7491.692,7415.2846,227413629.0,180671911.0
20190111,7474.0087,7441.1755,7490.1697,7404.3092,217105794.0,173750048.3
20190114,7409.1991,7473.8841,7488.364,7394.9571,215934773.0,166914292.7
20190115,7547.3485,7403.7896,7549.6627,7386.1546,223110397.0,182224553.4
20190116,7540.4503,7545.3495,7586.6608,7518.7062,216076433.0,177785021.3
20190117,7470.3551,7534.0436,7545.8129,7463.992,210238042.0,166613846.9
20190118,7581.3888,7486.9485,7584.7628,7479.6557,220630817.0,175381199.7
20190121,7626.2354,7591.1912,7661.6183,7578.4871,204896693.0,173201986.5
20190122,7516.7863,7615.8017,7615.8017,7493.7773,188464365.0,155636681.9
20190123,7523.7737,7493.0662,7542.6454,7489.317,168488373.0,138876654.8
20190124,7573.5246,7537.4979,7604.9926,7485.2414,201968410.0,169008151.6
20190125,7595.4528,7581.286,7657.0336,7554.5533,211919404.0,177486397.0
20190128,7589.5808,7641.2893,7704.8462,7569.7731,202423330.0,172300864.5
20190129,7551.3,7575.4344,7578.131,7428.4019,208909702.0,167051826.6
20190130,7470.4715,7518.0276,7580.2241,7470.3555,163342152.0,136185741.7
20190131,7479.2153,7485.7865,7552.5597,7428.8629,206365251.0,159830118.3
20190201,7683.9971,7524.6652,7684.1118,7517.834,180990265.0,150222904.9
20190211,7919.046,7695.1745,7922.5363,7695.1745,211629262.0,182559020.5
20190212,8010.0746,7915.0639,8027.6309,7903.9,258799232.0,208455165.1
20190213,8171.2065,8029.9717,8191.9832,8016.7803,318137977.0,267037757.5
20190214,8219.9611,8182.3241,8260.3294,8141.0984,310200209.0,247156302.1
20190215,8125.6347,8198.4534,8223.6444,8117.5114,307058614.0,248518773.6
20190218,8446.9182,8187.8899,8446.9182,8187.8899,396701096.0,323520806.5
20190219,8440.8701,8480.7614,8537.3462,8350.864,437306242.0,358713542.5
20190220,8473.4267,8443.9761,8488.4735,8372.9634,365676247.0,293835320.3
20190221,8451.71,8467.1516,8619.6192,8416.167,431362358.0,365674331.7
20190222,8651.1965,8431.559,8651.1965,8393.8629,416850503.0,357695441.7
20190225,9134.5806,8804.9663,9134.5806,8785.4194,643916664.0,574588532.1
20190226,9089.0405,9162.9162,9276.451,9036.7457,689527158.0,605314807.7
20190227,9005.7655,9062.9652,9158.1964,8901.7174,550387136.0,479406145.7
20190228,9031.9266,9001.1841,9097.4025,8970.648,421689421.0,363525910.4
20190301,9167.65,9111.9588,9167.65,9005.4864,399959292.0,357074094.0
20190304,9384.4154,9280.6515,9567.1513,9260.7269,606335325.0,565949710.1
20190305,9595.743,9366.7667,9595.743,9328.0027,563487474.0,513753186.7
20190306,9700.4936,9640.9473,9707.9154,9518.7145,692388124.0,620802905.5
20190307,9678.1144,9685.2962,9782.218,9546.5554,685512478.0,640923188.1
20190308,9363.7241,9447.5981,9726.3044,9346.7276,709489784.0,658507093.3
20190311,9704.3276,9425.7979,9704.3276,9370.3782,558511387.0,540090848.6
20190312,9841.2387,9766.4985,9928.1998,9683.0664,663592429.0,650014133.4
20190313,9592.055,9828.1488,9828.1488,9534.333,615964538.0,599981087.4
20190314,9417.9265,9521.6249,9620.4614,9323.0592,482171917.0,456280678.4
20190315,9550.5379,9485.3333,9650.5442,9452.9063,422441792.0,405946006.0
20190318,9843.4297,9583.445,9843.4297,9510.6601,439815282.0,434179889.0
20190319,9839.744,9844.4625,9908.1698,9774.7481,431739482.0,422403027.3
20190320,9800.6038,9828.0732,9848.7687,9642.6745,451219889.0,430605294.9
20190321,9869.7968,9808.7372,9934.8595,9771.8616,515936101.0,482004759.3
20190322,9879.2204,9871.9852,9891.8292,9692.2453,467872483.0,445257792.8
20190325,9701.6954,9705.0241,9858.075,9680.9422,460806698.0,444008902.6
20190326,9513.0018,9753.1665,9780.0827,9487.0977,448860524.0,426899560.2
20190327,9609.4352,9582.0328,9609.4352,9446.3514,376919235.0,369665308.4
20190328,9546.5072,9586.3782,9695.5194,9537.6082,365302249.0,374108875.8
20190329,9906.8639,9556.3009,9906.8639,9554.0656,435504934.0,449584909.9
20190401,10267.7017,9976.9794,10277.5486,9976.9794,539634778.0,563895925.5
20190402,10260.3595,10314.7919,10334.9549,10220.8066,557057587.0,575814255.7
20190403,10340.5131,10199.9661,10350.5733,10166.669,491116591.0,490776845.0
20190404,10415.7993,10379.1988,10453.5029,10309.5321,514128386.0,529780759.1
20190408,10351.8655,10510.4301,10541.185,10226.2543,544942099.0,560604756.9
20190409,10436.6165,10368.0288,10438.993,10304.73,440133411.0,459924528.4
20190410,10435.08,10403.2424,10529.7396,10328.6081,474638394.0,503290912.2
20190411,10158.4004,10420.646,10437.4532,10149.3833,444252114.0,456637571.6
20190412,10132.337,10138.0881,10186.4659,10053.8123,370906208.0,368249190.8
20190415,10053.7599,10294.8245,10365.3074,10048.8338,403544068.0,420112440.5
20190416,10287.6409,9993.2485,10287.6409,9928.2802,411812459.0,430879141.5
20190417,10344.4287,10288.4502,10410.6524,10257.5608,453500765.0,475592709.3
20190418,10287.6651,10338.5036,10363.8514,10267.3077,422880573.0,429914284.1
20190419,10418.241,10280.3379,10418.241,10208.6102,409455000.0,405256793.7
20190422,10224.3066,10418.7122,10418.7122,10192.5218,437135586.0,445057504.4
20190423,10124.6598,10206.0242,10247.3898,10091.9188,403741204.0,408140719.3
20190424,10236.2709,10162.3809,10239.3703,10023.9095,370744422.0,373852772.4
20190425,9907.6247,10186.2264,10209.1396,9902.0162,430107686.0,424300791.1
20190426,9780.8219,9852.94,9927.7422,9774.7511,339762932.0,349231030.8
20190429,9622.4933,9775.9513,9822.8151,9597.0883,356616132.0,356782123.9
20190430,9674.5346,9573.4108,9730.5474,9573.3928,263792927.0,271059349.1
20190506,8943.5206,9289.7431,9333.9161,8893.1468,355213411.0,343574666.1
20190507,9089.4581,9011.5174,9160.5182,8928.5704,296713598.0,292641091.6
20190508,9002.5326,8899.9116,9167.8092,8873.438,289597255.0,269925651.2
20190509,8877.3072,8919.5006,9012.239,8860.175,244927948.0,236562617.6
20190510,9235.3885,8988.9213,9238.547,8820.5934,346735347.0,335996864.3
20190513,9103.3625,9112.5224,9191.0702,9059.3217,268454269.0,263589639.9
20190514,9038.3643,8998.9685,9142.4583,8996.9242,258630922.0,254317663.3
20190515,9259.0294,9125.2676,9282.9644,9123.9045,288895917.0,286522186.6
20190516,9293.3238,9247.9924,9307.219,9211.7516,310232475.0,296006784.3
20190517,9000.1885,9299.4626,9303.0534,8964.3695,349171165.0,325842438.8
20190520,8916.1069,8980.8037,8994.1766,8792.8442,274992473.0,263532427.8
20190521,9087.5211,8920.4562,9120.6925,8892.1452,287502697.0,276693728.2
20190522,9041.2237,9068.9948,9132.3748,8986.5289,281965205.0,275630124.6
20190523,8809.5348,8997.2518,8997.2518,8789.4104,278961831.0,271749127.8
20190524,8776.7655,8788.172,8880.8123,8745.5953,228714097.0,218225146.4
20190527,8979.8265,8795.1429,9003.8737,8732.9845,270875537.0,258901220.6
20190528,9035.6934,8979.5787,9082.6981,8946.6999,276643363.0,272273450.7
20190529,9010.358,8971.2222,9077.5116,8956.7177,248026463.0,243073765.0
20190530,8943.349,8974.4042,8974.4042,8845.8263,264232017.0,256436055.7
20190531,8922.6946,8939.411,9016.1603,8892.12,248794738.0,246188119.9
20190603,8856.9866,8953.3691,9012.0826,8826.7496,273451165.0,271098733.8
20190604,8748.2714,8854.4957,8868.0891,8697.4947,238852099.0,241319525.4
20190605,8746.0462,8831.1345,8851.1196,8729.2109,224442496.0,232586092.1
20190606,8584.9395,8741.827,8741.827,8557.5824,230614565.0,221817162.5
20190610,8711.7859,8621.732,8748.9725,8582.4777,205315211.0,204223081.8
20190611,9037.6733,8721.2723,9045.1172,8718.4719,316531070.0,310971761.3
20190612,8954.7162,9008.5649,9038.8716,8930.9101,295738673.0,290334344.1
20190613,8951.6065,8948.5771,8974.7967,8866.2233,268631473.0,258036177.9
20190614,8810.1267,8956.9231,8994.1618,8801.3262,273658053.0,254617550.2
