date,financing_balance,financing_purchase,financing_redeem,securities_lending_balance,securities_lending_sell,securities_lending_shares,margin_balance,market,margin_balance_change
2010-12-14,7373777616.0,598845377.0,434472632.0,12452885.0,1185359.0,0.0,7386230501.0,沪市,2.2963256864366066
2010-12-15,7462794030.0,542387127.0,453370713.0,7096652.0,646067.0,0.0,7469890682.0,沪市,1.1326505582065716
2010-12-16,7542711921.0,448723342.0,368805451.0,6987252.0,621900.0,0.0,7549699173.0,沪市,1.0684023956643918
2010-12-17,7493201511.0,245814175.0,295324585.0,3888480.0,436200.0,0.0,7497089991.0,沪市,-0.6968381228770859
2010-12-20,7435701311.0,396781734.0,454281934.0,9139721.0,1300196.0,0.0,7444841032.0,沪市,-0.6969231937021259
2010-12-21,7564667757.0,622556317.0,493589871.0,7898275.0,757944.0,0.0,7572566032.0,沪市,1.7156175592064615
2010-12-22,7776178311.0,569147197.0,357636643.0,4995923.0,627562.0,0.0,7781174234.0,沪市,2.754788814233744
2010-12-23,7817500749.0,375027731.0,333705293.0,8295867.0,725400.0,0.0,7825796616.0,沪市,0.5734659147589971
2010-12-24,7897318010.0,392595142.0,312777881.0,5257608.0,430600.0,0.0,7902575618.0,沪市,0.9811014235026727
2010-12-27,7980334051.0,568941962.0,485925921.0,7669058.0,1192141.0,0.0,7988003109.0,沪市,1.0810082070637606
2010-12-28,8010109091.0,405320013.0,375544973.0,5729010.0,674382.0,0.0,8015838101.0,沪市,0.34845995451151524
2010-12-29,8146359995.0,351203051.0,214952147.0,5575964.0,353640.0,0.0,8151935959.0,沪市,1.6978618615441032
2010-12-30,8220105721.0,373192568.0,299446842.0,6870974.0,913880.0,0.0,8226976695.0,沪市,0.9205265642102223
2010-12-31,8427486678.0,601063229.0,393682272.0,4103136.0,364366.0,0.0,8431589814.0,沪市,2.487099776572288
2011-01-04,8516136811.0,727620536.0,638970403.0,6276423.0,564533.0,0.0,8522413234.0,沪市,1.077180247184173
2011-01-05,8596471915.0,631058464.0,550723360.0,3737827.0,274600.0,0.0,8600209742.0,沪市,0.9128459963620772
2011-01-06,8727223150.0,509404270.0,378653035.0,4413921.0,377620.0,0.0,8731637071.0,沪市,1.528187485453536
2011-01-07,8690038014.0,626845747.0,664030883.0,9286568.0,1202003.0,0.0,8699324582.0,沪市,-0.37006220869301165
2011-01-10,8758781466.0,560718946.0,491975494.0,6997014.0,546062.0,0.0,8765778480.0,沪市,0.7638972126353449
2011-01-11,8667104852.0,355611110.0,447287724.0,10944904.0,708474.0,0.0,8678049756.0,沪市,-1.0008092743863162
2011-01-12,8710801634.0,401466452.0,357769670.0,10147082.0,571040.0,0.0,8720948716.0,沪市,0.4943387190231352
2011-01-13,8754029313.0,367484313.0,324256634.0,11325427.0,249101.0,0.0,8765354740.0,沪市,0.5091879960093193
2011-01-14,8769493796.0,379638726.0,364174243.0,6913532.0,423910.0,0.0,8776407328.0,沪市,0.12609401818688415
2011-01-17,8821400941.0,443218144.0,391310999.0,7448751.0,840392.0,0.0,8828849692.0,沪市,0.5975379450847695
2011-01-18,8981757570.0,405004924.0,244648295.0,5909762.0,515500.0,0.0,8987667332.0,沪市,1.7988486104130619
2011-01-19,9087977825.0,462920729.0,356700474.0,7280845.0,532300.0,0.0,9095258670.0,沪市,1.1970996925634747
2011-01-20,9086647897.0,497827964.0,499157892.0,6614513.0,591600.0,0.0,9093262410.0,沪市,-0.02194835872655343
2011-01-21,9102872273.0,540497532.0,524273156.0,7299859.0,1357900.0,0.0,9110172132.0,沪市,0.1859588037556703
2011-01-24,9177837418.0,509692127.0,434726982.0,9228124.0,1250571.0,0.0,9187065542.0,沪市,0.8440390465280778
